ID1,ID2,Weight
6,9,4
7,12,8
17,20,4
7,25,1
18,19,8
17,25,1
9,21,3
14,18,1
0,17,3
12,17,6
0,4,3
13,20,5
4,10,4
2,6,1
5,11,4
4,16,3
19,24,1
6,23,5
5,21,2
16,19,1
17,18,3
22,25,9
8,12,3
8,18,3
11,15,1
9,19,4
15,16,9
2,18,1
0,14,1
3,11,2
1,15,2
4,12,3
2,12,10
6,14,4
7,15,6
20,21,5
7,24,2
17,24,1
9,20,6
14,19,2
10,19,2
0,18,4
12,18,8
1,19,3
0,5,2
16,23,1
13,19,2
4,11,1
3,5,1
2,7,5
4,6,1
4,17,2
6,20,1
5,20,3
7,17,2
10,15,8
8,19,4
9,18,2
15,19,2
11,19,3
1,20,4
12,20,5
2,19,2
0,15,4
13,25,1
1,14,2
4,13,2
2,13,1
6,15,1
19,21,4
6,18,1
20,22,1
21,23,10
14,16,1
10,16,8
0,19,4
12,19,8
1,18,1
0,6,7
13,18,3
2,25,3
1,7,4
0,9,7
7,16,7
3,4,8
2,4,6
5,9,13
4,7,4
4,18,4
6,21,1
5,19,10
16,21,2
6,24,2
16,24,1
18,23,2
9,15,6
10,12,18
8,20,2
9,17,1
15,18,6
11,18,5
10,22,2
12,21,6
2,16,5
1,24,2
13,24,1
1,13,5
16,20,1
4,14,2
2,10,8
3,19,1
6,12,6
4,20,1
19,20,8
7,9,14
20,23,4
14,17,4
10,17,10
0,20,2
15,20,4
1,17,5
0,7,13
13,17,3
2,22,1
1,6,4
0,10,22
7,22,1
5,8,8
6,7,5
4,19,1
6,10,12
5,18,8
17,23,13
18,20,4
8,15,1
10,13,5
8,21,2
10,24,1
9,16,6
10,23,5
2,17,6
0,1,8
13,23,6
3,12,3
1,12,13
4,15,1
16,18,1
6,13,1
4,21,1
19,23,2
7,8,7
6,16,2
21,24,2
8,9,3
0,21,1
15,23,4
12,13,6
1,16,7
13,16,3
12,24,3
2,23,4
0,11,2
1,10,14
7,20,6
7,18,1
17,22,5
9,13,1
10,25,1
9,23,3
11,20,1
10,20,6
12,23,7
0,2,6
2,8,1
4,22,1
19,22,1
7,11,7
6,17,5
16,17,2
9,11,4
9,24,2
14,23,7
12,14,3
1,23,5
13,15,2
12,25,1
2,20,4
1,4,2
0,12,6
1,9,8
2,14,1
7,13,1
17,21,2
9,12,11
8,23,1
11,23,1
10,21,2
0,16,6
12,16,5
13,21,1
1,2,5
2,9,5
5,12,7
3,20,1
4,23,2
7,10,7
7,23,7
17,19,1
22,24,1
18,24,1
8,11,1
8,17,1
11,12,1
0,23,7
15,17,3
12,15,4
11,17,5
1,22,2
13,14,3
2,21,3
0,13,10
2,15,1
