ID1,ID2,Weight
1,3,10
4,8,6
7,12,2
2,8,6
5,13,4
0,7,4
0,10,4
3,7,6
2,5,14
1,11,8
5,8,2
0,15,2
3,10,4
6,10,6
1,14,2
2,13,4
9,11,6
6,15,2
8,15,4
11,13,8
4,10,2
7,14,14
7,10,2
12,14,2
5,11,18
4,5,4
10,13,26
13,15,14
9,16,4
6,8,2
0,1,8
7,15,12
6,9,2
5,16,6
1,12,8
10,16,2
2,11,4
5,14,6
0,6,4
6,13,20
1,7,2
0,9,4
11,15,14
3,4,4
2,4,6
9,12,4
6,16,12
11,16,24
0,14,4
12,16,4
1,15,6
8,9,2
4,12,2
2,12,6
7,11,8
0,3,2
3,14,6
1,2,4
8,14,6
4,9,2
2,9,2
9,15,2
1,16,4
10,12,2
13,16,2
1,5,4
0,11,2
10,14,16
3,6,4
1,10,2
2,16,2
3,13,6
6,11,8
9,10,6
5,15,6
6,12,2
11,12,8
3,5,2
12,15,8
13,14,2
7,8,14
0,2,2
1,8,6
2,15,2
5,12,2
