ID1,ID2,Weight
8,13,44
7,12,9
2,8,2
5,13,7
0,7,52
10,15,1
0,10,1
11,14,4
5,8,2
3,10,7
8,10,5
9,11,8
7,9,7
6,15,1
8,15,1
11,13,23
2,6,2
9,14,4
7,10,6
12,14,6
5,11,8
10,13,15
13,15,3
2,3,20
2,14,6
7,15,1
3,12,4
8,12,26
4,15,12
7,13,15
2,11,4
10,14,37
1,7,4
2,4,13
5,9,1
4,7,1
10,11,9
0,14,1
1,15,3
8,9,11
2,12,3
7,11,10
0,3,17
8,14,11
4,9,2
2,9,1
9,15,14
12,13,27
5,12,1
10,12,9
0,11,5
3,6,19
3,13,1
1,13,1
8,11,16
2,10,14
9,10,2
6,12,3
0,8,29
11,12,5
9,13,1
12,15,6
4,6,3
13,14,5
7,8,49
5,7,3
3,8,1
2,15,2
14,15,1
