ID1,ID2,Weight
7,12,2
17,20,1
7,25,2
18,19,4
17,25,2
23,26,1
8,24,6
9,21,1
14,18,2
10,18,3
12,17,2
13,20,5
2,27,3
4,10,3
2,6,1
5,11,1
4,5,1
3,23,3
5,24,2
4,16,1
19,24,3
22,25,1
18,25,3
8,12,5
10,14,2
8,18,3
11,16,5
0,27,1
12,27,3
2,18,2
1,26,4
13,26,1
3,11,1
4,12,5
2,12,2
3,17,1
20,26,2
7,15,2
17,24,1
9,20,1
15,25,2
14,19,1
10,19,3
12,18,1
11,26,1
13,19,3
0,8,1
3,5,7
2,7,1
5,10,3
3,22,2
5,7,3
4,17,1
19,27,11
5,20,3
18,22,4
8,13,7
10,15,1
8,19,2
14,26,2
10,26,1
9,18,1
15,19,1
12,20,2
2,19,4
16,22,2
1,14,3
2,13,2
3,16,1
20,27,2
7,14,1
21,26,1
20,22,1
8,26,1
15,24,3
14,16,2
10,16,1
12,19,3
1,18,1
2,25,1
1,7,1
7,16,4
2,4,7
5,9,2
4,7,5
3,25,1
4,18,1
19,26,4
16,21,1
16,24,2
18,23,4
8,14,5
9,15,2
8,20,3
14,27,1
10,27,1
9,17,2
15,18,10
10,22,2
1,24,1
13,24,3
3,13,3
1,13,2
4,14,4
2,10,1
5,15,3
19,20,8
7,26,4
8,27,5
9,26,1
15,27,2
14,17,1
15,20,1
1,17,1
0,7,1
13,17,8
2,22,6
1,6,1
0,10,1
3,7,4
2,5,4
1,11,1
5,8,7
3,24,1
4,19,5
5,18,3
7,19,3
6,25,1
18,20,4
8,15,8
23,25,1
10,13,2
8,21,1
14,24,2
10,24,1
9,16,1
14,15,6
11,21,1
10,23,2
12,22,3
13,23,3
1,12,4
4,15,7
16,18,2
5,14,1
4,26,3
5,27,4
19,23,3
7,8,1
6,16,1
22,23,2
18,26,4
8,9,1
15,26,4
14,22,3
0,21,1
15,23,2
12,13,5
1,16,4
12,24,2
2,23,1
1,5,2
1,10,2
3,27,2
5,17,2
16,23,1
16,26,1
17,27,1
23,24,6
9,13,3
8,22,5
14,25,1
10,25,1
9,23,2
10,20,2
12,23,1
13,22,4
3,15,2
4,8,11
2,8,12
5,13,4
4,27,1
5,26,1
4,22,8
19,22,5
7,11,3
5,23,9
16,17,1
22,27,5
18,27,6
8,10,3
8,16,2
14,23,3
15,22,1
12,14,2
13,15,1
12,25,1
2,20,2
1,4,5
3,9,1
2,3,8
1,9,1
26,27,10
3,26,3
2,14,2
5,16,2
20,24,8
16,27,1
17,26,1
23,27,2
9,12,2
10,11,1
8,23,4
24,26,3
11,23,1
10,21,1
11,24,2
2,26,4
5,12,2
3,20,2
4,23,6
7,10,2
5,22,4
7,23,5
22,24,1
18,24,2
9,10,1
15,17,1
12,15,2
1,22,7
13,14,2
13,27,1
3,8,2
1,8,4
2,15,12
