ID1,ID2,Weight
7,12,3
17,20,5
7,25,5
17,25,10
8,24,1
9,21,1
24,27,4
10,18,3
0,17,1
12,17,1
2,27,1
4,10,2
5,11,3
4,5,4
3,23,1
5,21,1
17,18,5
22,25,4
18,25,1
8,12,2
10,14,2
14,21,1
0,27,2
12,27,2
2,18,3
0,14,1
13,26,1
2,12,1
3,17,1
20,26,1
21,27,1
20,21,2
17,24,1
12,18,1
7,18,1
13,19,1
2,24,2
0,8,1
3,5,1
2,7,6
5,10,9
5,7,7
4,17,7
5,20,2
7,17,4
10,15,2
10,26,4
25,26,8
12,20,2
2,19,1
1,25,1
13,25,1
1,14,2
2,13,3
21,26,1
7,27,5
21,23,2
9,27,2
14,16,1
0,19,4
12,19,1
1,18,1
25,27,3
13,18,5
0,9,2
7,16,1
3,4,3
2,4,1
5,9,5
4,7,3
3,25,1
5,6,2
4,18,2
18,23,2
10,12,1
9,17,3
10,22,2
12,21,4
2,16,1
1,24,2
13,24,1
4,14,3
2,10,1
5,15,1
4,25,7
4,20,1
7,9,2
21,25,2
7,26,4
21,22,1
8,27,1
9,26,1
14,17,1
10,17,3
15,20,4
1,17,3
0,7,2
13,17,1
3,7,2
1,11,1
7,22,1
5,8,1
3,24,1
5,18,1
7,19,1
17,23,1
18,20,2
8,15,3
9,14,2
8,21,1
9,16,1
14,15,1
10,23,1
2,17,5
0,1,1
13,23,1
3,12,4
1,12,1
4,15,2
2,11,2
16,18,1
4,26,7
3,18,6
4,21,3
7,8,2
21,24,5
7,21,1
22,23,1
22,26,1
18,26,1
8,9,1
15,26,1
14,22,1
13,16,1
12,24,3
2,23,5
3,27,2
7,20,1
5,17,2
16,23,1
17,22,3
18,21,1
17,27,1
23,24,1
14,25,1
10,25,1
9,23,1
24,25,2
10,20,2
0,2,1
13,22,3
3,15,7
1,3,1
4,8,2
2,8,2
5,13,1
4,27,2
3,21,1
5,26,4
4,22,2
7,11,2
22,27,1
9,11,1
9,24,1
14,23,1
0,22,2
12,14,1
0,25,6
12,25,1
1,4,1
3,9,2
2,3,13
26,27,1
2,14,6
5,16,1
7,13,4
17,21,4
17,26,6
9,12,2
10,11,1
8,23,1
9,22,4
10,21,1
0,3,6
13,21,2
1,2,2
4,9,2
2,9,4
5,12,1
3,20,3
5,25,3
4,23,1
7,10,9
5,22,3
8,11,2
9,10,2
8,17,2
12,15,6
1,22,1
13,14,1
2,21,6
1,27,3
0,13,6
1,8,1
2,15,6
