ID1,ID2,Weight
32,54,1
22,57,4
5,31,2
21,28,5
4,36,1
34,52,1
17,20,1
7,25,2
29,44,3
16,47,3
6,54,2
41,57,1
13,32,1
18,45,2
38,40,2
12,59,1
15,30,1
11,22,2
1,28,1
46,52,2
30,41,1
25,49,1
15,34,2
19,39,4
2,53,3
22,48,1
5,24,6
21,37,2
4,35,3
55,56,1
29,37,3
59,61,1
33,34,1
6,41,3
36,41,9
31,51,1
35,52,2
12,50,3
37,54,1
1,21,2
0,14,2
3,11,6
2,12,5
1,33,4
12,42,1
47,49,4
4,42,2
7,15,1
3,55,3
16,29,1
31,56,5
5,53,2
35,61,2
40,48,1
43,45,1
8,25,2
14,19,5
45,47,8
49,52,2
39,57,2
26,30,5
0,5,2
12,29,1
15,48,2
19,53,1
2,7,5
24,40,8
5,10,1
21,55,5
4,17,2
26,34,2
20,28,1
28,44,1
22,30,3
9,56,1
17,43,1
7,56,2
42,53,1
10,26,1
0,28,1
15,57,3
24,47,2
37,40,2
4,24,4
26,45,3
0,40,2
28,55,4
3,37,1
33,53,2
6,18,2
54,56,1
28,43,1
9,13,2
32,46,2
31,46,4
5,39,2
35,43,1
30,49,2
52,60,2
11,50,1
29,54,2
39,47,2
13,56,1
44,58,1
0,19,1
12,19,1
2,25,1
8,22,3
31,34,2
14,41,1
1,52,1
21,57,3
4,7,3
52,57,2
56,60,3
6,21,1
28,34,3
2,45,1
9,37,3
30,56,3
8,14,3
7,46,1
37,42,3
31,32,1
36,49,2
10,12,2
13,49,1
48,52,1
38,59,4
30,34,6
50,54,1
1,13,2
4,14,3
0,38,3
20,41,2
3,19,1
25,34,5
6,12,2
19,20,3
22,35,2
5,41,1
9,46,2
21,22,1
8,53,2
11,32,1
42,46,1
16,53,2
6,56,1
10,55,1
41,51,1
13,42,1
9,26,1
38,50,2
25,31,4
15,20,2
11,28,4
14,59,1
1,6,2
9,28,4
13,30,1
25,43,2
6,7,2
19,29,1
27,45,1
28,29,2
21,31,6
4,57,3
7,28,1
29,47,2
16,44,2
41,52,1
13,35,2
18,46,1
38,53,6
12,56,2
43,58,1
11,21,2
17,39,1
51,59,3
25,44,1
15,33,2
19,34,1
2,54,1
22,61,2
5,27,1
30,31,2
1,43,1
21,24,1
34,48,1
7,21,1
9,12,4
29,40,2
16,35,1
18,36,1
41,61,1
35,51,1
18,41,2
12,55,1
15,26,2
45,57,7
1,16,1
13,16,2
0,11,2
3,6,8
22,52,1
53,58,1
27,59,1
47,52,1
3,50,1
23,47,2
10,32,1
35,56,1
18,32,1
37,50,3
