,ID1,ID2,Weight
0,She1,She5,73.0
1,Op10,Op23,17.0
2,T18M,Tao7,5.0
3,Mot15,Mot20,5.0
4,Op6,V22M,11.0
5,Tao16,Tao5,6.0
6,Mot11,Mot20,14.0
7,T18M,Tao16,5.0
8,Op20,V6M,14.0
9,Op6,V19M,11.0
10,Op24,Op6,16.0
11,PT2,Tao8,28.0
12,Op19,Tao8,18.0
13,R14M,Tet4,13.0
14,She4,V11M,7.0
15,Op24,Tao15,6.0
16,Mot12,Mot8,4.0
17,Op6,She3,33.0
18,Op6,Op8,44.0
19,She13,Tao8,21.0
20,Op19,Op8,24.0
21,She1,She4,7.0
22,Op27,Op5,6.0
23,Mot19,Tet6,8.0
24,Op21,She13,8.0
25,R14M,RF2,7.0
26,Op21,V6M,2.0
27,Mot17,Mot8,12.0
28,Op18,V22M,22.0
29,Op18,Op21,9.0
30,Op31,V23M,5.0
31,Mot22,RF4,2.0
32,T6M,Tao6,6.0
33,Op16,V6M,9.0
34,She4,V23M,4.0
35,Op41,Op8,5.0
36,Mot22,V19M,10.0
37,She5,V23M,14.0
38,RF4,RF7,3.0
39,Op13,She13,6.0
40,Mot1,Mot7,1.0
41,T6M,Tao16,6.0
42,Op20,She8,49.0
43,Op18,Op6,33.0
44,Op24,V11M,5.0
45,Op16,Op31,8.0
46,Mot17,Mot20,12.0
47,Tao13,Tao6,1.0
48,T6M,Tao5,7.0
49,R6F,Tao19,3.0
50,Mot20,R14M,8.0
51,Op20,Op24,25.0
52,Mot22,V12M,9.0
53,Op13,She9,17.0
54,Mot15,Mot19,5.0
55,Tao13,Tao16,1.0
56,M11F,Tao6,3.0
57,Tao8,V22M,12.0
58,M6F,Tet4,1.0
59,Tao10,Tao6,6.0
60,T18M,Tao5,5.0
61,Op22,Tao5,2.0
62,Op13,Op31,8.0
63,She1,V22M,11.0
64,Op9,She1,8.0
65,Op22,PT1,4.0
66,Mot21,Tet6,7.0
67,Op18,V12M,7.0
68,Op31,PT1,27.0
