ID1,ID2,Weight
7,12,1
1,17,5
0,7,12
13,17,1
14,17,8
1,6,1
0,10,5
3,7,5
2,5,26
5,8,5
5,18,4
10,18,2
0,17,8
0,4,3
8,15,1
4,10,2
2,6,2
9,14,4
4,5,5
10,13,5
4,16,1
9,16,3
17,18,3
2,17,5
14,16,4
0,1,4
2,11,5
16,18,1
5,14,3
3,18,5
10,14,7
7,8,1
6,16,3
11,16,4
2,18,1
0,14,3
3,11,2
8,9,18
3,17,2
6,14,1
7,15,3
12,13,1
0,11,43
1,10,45
6,11,1
5,17,3
0,18,4
12,18,4
0,5,19
0,8,7
4,11,40
2,7,3
9,13,5
5,10,1
4,6,1
15,16,3
5,7,1
4,17,1
7,17,1
0,2,5
1,3,10
8,13,6
4,8,8
2,8,6
5,13,3
10,15,5
11,14,8
7,11,2
6,17,21
16,17,6
0,15,2
3,10,7
8,10,10
9,11,11
8,16,1
6,15,2
12,14,35
13,15,3
3,9,1
1,9,9
2,14,2
5,16,2
7,13,23
0,6,9
15,17,5
1,7,1
0,9,30
3,4,1
9,12,3
5,9,3
10,11,2
5,6,8
0,16,9
7,16,1
12,16,1
1,2,1
8,14,6
4,9,17
2,9,22
9,15,1
10,12,2
9,17,10
7,10,12
2,16,5
8,11,2
9,10,2
5,15,4
7,9,4
11,17,4
13,14,5
0,13,6
3,8,2
1,8,9
